index,model_name,embed_type,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
5,gru,glove,250,150,0.00226,0.99716,0.00058,0.00226,0.99716,0.00058
6,gru,glove,250,200,0.0921,0.8558,0.0521,0.0921,0.8558,0.0521
7,gru,glove,300,150,0.00432,0.99566,2e-05,0.00432,0.99566,2e-05
8,gru,glove,300,200,0.00088,0.999,0.00012,0.00088,0.999,0.00012
9,gru,glove,300,250,0.02724,0.96216,0.0106,0.02724,0.96216,0.0106
0,gru,numberbatch,100,300,2e-05,0.99966,0.00032,2e-05,0.99966,0.00032
1,gru,numberbatch,150,100,0.00898,0.99086,0.00016,0.00898,0.99086,0.00016
2,gru,numberbatch,150,300,0.00212,0.99788,0.0,0.00212,0.99788,0.0
3,gru,numberbatch,200,100,0.00198,0.99802,0.0,0.00198,0.99802,0.0
4,gru,numberbatch,200,150,0.0,0.99984,0.00016,0.0,0.99984,0.00016
5,gru,numberbatch,200,250,0.0032,0.99666,0.00014,0.0032,0.99666,0.00014
6,gru,numberbatch,200,300,0.00594,0.99404,2e-05,0.00594,0.99404,2e-05
7,gru,numberbatch,250,100,0.0018,0.99814,6e-05,0.0018,0.99814,6e-05
8,gru,numberbatch,250,150,0.0,0.99506,0.00494,0.0,0.99506,0.00494
9,gru,numberbatch,250,300,0.01198,0.98744,0.00058,0.01198,0.98744,0.00058
0,gru,fasttext,100,150,0.0022,0.9978,0.0,0.0022,0.9978,0.0
1,gru,fasttext,100,250,0.05564,0.94436,0.0,0.05564,0.94436,0.0
2,gru,fasttext,100,300,0.02516,0.97484,0.0,0.02516,0.97484,0.0
3,gru,fasttext,150,250,0.00064,0.99936,0.0,0.00064,0.99936,0.0
4,gru,fasttext,150,300,0.00012,0.99988,0.0,0.00012,0.99988,0.0
5,gru,fasttext,200,100,0.0,0.72208,0.27792,0.0,0.72208,0.27792
6,gru,fasttext,200,150,2e-05,0.978,0.02198,2e-05,0.978,0.02198
7,gru,fasttext,200,250,0.0,0.99996,4e-05,0.0,0.99996,4e-05
8,gru,fasttext,200,300,0.0,0.99952,0.00048,0.0,0.99952,0.00048
9,gru,fasttext,300,250,2e-05,0.99988,0.0001,2e-05,0.99988,0.0001
0,gru,word2vec,150,100,0.00016,0.99984,0.0,0.00016,0.99984,0.0
1,gru,word2vec,150,200,0.0,1.0,0.0,0.0,1.0,0.0
2,gru,word2vec,200,100,0.0,1.0,0.0,0.0,1.0,0.0
3,gru,word2vec,250,100,0.01938,0.98008,0.00054,0.01938,0.98008,0.00054
4,gru,word2vec,250,150,0.00038,0.99944,0.00018,0.00038,0.99944,0.00018
5,gru,word2vec,250,200,4e-05,0.99978,0.00018,4e-05,0.99978,0.00018
6,gru,word2vec,250,300,0.06174,0.93824,2e-05,0.06174,0.93824,2e-05
7,gru,word2vec,300,100,0.0,0.99658,0.00342,0.0,0.99658,0.00342
8,gru,word2vec,300,150,0.0,0.99874,0.00126,0.0,0.99874,0.00126
9,gru,word2vec,300,200,0.0,0.99346,0.00654,0.0,0.99346,0.00654
0,gru,deps,100,150,0.0,1.0,0.0,0.0,1.0,0.0
1,gru,deps,200,100,0.00052,0.99948,0.0,0.00052,0.99948,0.0
2,gru,deps,200,150,6e-05,0.99994,0.0,6e-05,0.99994,0.0
3,gru,deps,200,250,0.01288,0.98712,0.0,0.01288,0.98712,0.0
4,gru,deps,200,300,0.02074,0.97924,2e-05,0.02074,0.97924,2e-05
5,gru,deps,250,100,0.0,0.99596,0.00404,0.0,0.99596,0.00404
6,gru,deps,250,150,0.0,0.99216,0.00784,0.0,0.99216,0.00784
7,gru,deps,300,100,0.0,0.9982,0.0018,0.0,0.9982,0.0018
8,gru,deps,300,150,0.0,0.99902,0.00098,0.0,0.99902,0.00098
9,gru,deps,300,250,0.01042,0.98742,0.00216,0.01042,0.98742,0.00216
